Employee_ID,Age,Gender,Department,Job_Role,Education,Education_Field,Monthly_Income,Job_Satisfaction,Years_At_Company,Overtime,Job_Level,Joining_Date,Attrition
EMP1020,58,Male,IT,Sales Executive,Bachelor's,Life Sciences,120074,1,3,No,3,2021-08-02,No
EMP1021,22,Male,Research & Development,Data Analyst,Master's,Finance,98869,4,3,Yes,4,2022-04-19,No
EMP1022,41,Male,Human Resources,Research Scientist,Bachelor's,Technical Degree,30410,3,17,No,5,2016-05-21,No
EMP1023,53,Male,Finance,HR Specialist,Master's,Technical Degree,108375,4,16,Yes,2,2019-05-02,No
EMP1024,32,Female,Human Resources,Financial Analyst,PhD,Marketing,121055,1,18,No,5,2023-11-27,No
EMP1025,42,Female,Research & Development,Manager,Master's,Finance,162868,3,10,No,4,2022-03-08,No
EMP1026,45,Male,Research & Development,IT Specialist,Bachelor's,Finance,111716,1,19,No,3,2024-01-31,No
EMP1027,47,Female,Finance,Manager,Bachelor's,Technical Degree,79245,4,2,No,4,2015-09-01,No
EMP1028,48,Male,Sales,IT Specialist,Bachelor's,Marketing,68056,4,7,Yes,4,2016-05-20,No
EMP1029,36,Female,IT,Data Analyst,Master's,Life Sciences,173781,1,13,Yes,5,2016-02-26,Yes
EMP1030,35,Male,Human Resources,Research Scientist,Master's,Medical,83557,2,0,No,2,2024-04-14,No
EMP1031,23,Male,Sales,Sales Executive,PhD,Human Resources,42543,3,13,No,4,2023-08-25,No
EMP1032,57,Male,Human Resources,Research Scientist,Bachelor's,Life Sciences,121038,4,1,No,5,2021-03-14,No
EMP1033,27,Male,Research & Development,Data Analyst,PhD,Technical Degree,172796,4,3,Yes,2,2024-10-01,No
EMP1034,41,Male,Human Resources,HR Specialist,Master's,Human Resources,28828,3,18,Yes,3,2024-10-30,No
EMP1035,29,Male,Human Resources,HR Specialist,Bachelor's,Medical,141656,1,5,Yes,3,2024-03-03,No
EMP1036,59,Female,Sales,Data Analyst,Master's,Medical,42087,1,0,No,1,2020-02-16,Yes
EMP1037,38,Male,Research & Development,IT Specialist,Bachelor's,Marketing,168677,1,16,Yes,5,2025-05-21,No
EMP1038,24,Female,IT,Financial Analyst,Bachelor's,Human Resources,56337,2,7,No,2,2023-05-15,No
EMP1039,45,Male,Research & Development,Financial Analyst,Master's,Marketing,161554,2,18,Yes,4,2018-04-07,No
EMP1040,34,Female,Research & Development,IT Specialist,Bachelor's,Life Sciences,90333,4,20,No,3,2015-11-26,No
EMP1041,29,Female,Research & Development,HR Specialist,Master's,Finance,161535,1,0,No,2,2016-10-11,No
EMP1042,46,Female,Research & Development,HR Specialist,Master's,Finance,95448,3,4,No,5,2019-01-04,No
EMP1043,22,Male,Research & Development,HR Specialist,Master's,Finance,29648,4,15,No,1,2016-01-26,No
EMP1044,40,Male,Research & Development,Research Scientist,Bachelor's,Human Resources,155576,3,5,No,3,2019-02-28,No
EMP1045,48,Female,Sales,HR Specialist,Master's,Finance,58623,4,7,No,2,2016-01-16,No
EMP1046,27,Male,Human Resources,Manager,Master's,Life Sciences,60634,2,12,No,2,2024-03-31,No
EMP1047,28,Female,Sales,Sales Executive,Master's,Marketing,139598,4,15,No,2,2017-01-11,No
EMP1048,55,Male,Sales,HR Specialist,Bachelor's,Human Resources,74334,2,2,No,5,2020-07-03,No
EMP1049,34,Female,Sales,IT Specialist,Bachelor's,Marketing,93648,4,18,Yes,5,2017-03-30,No
EMP1050,37,Female,Sales,Sales Executive,Master's,Human Resources,47054,1,11,No,5,2016-11-03,No
EMP1051,56,Male,Research & Development,Research Scientist,Bachelor's,Marketing,95028,3,15,Yes,4,2022-01-04,Yes
EMP1052,60,Female,Research & Development,IT Specialist,Master's,Medical,47207,1,10,Yes,2,2019-11-07,No
EMP1053,24,Male,Finance,Sales Executive,Master's,Marketing,106554,4,9,No,3,2023-03-16,No
EMP1054,22,Female,Sales,IT Specialist,Master's,Finance,177458,4,19,No,5,2018-04-26,No
EMP1055,26,Female,Finance,Research Scientist,Master's,Medical,108276,4,3,No,5,2017-07-18,No
EMP1056,24,Male,Human Resources,Manager,PhD,Marketing,77781,2,11,No,2,2019-03-20,No
EMP1057,49,Male,Research & Development,Research Scientist,Master's,Human Resources,86035,3,1,No,5,2017-07-01,Yes
EMP1058,38,Male,IT,Research Scientist,PhD,Human Resources,33210,3,18,No,4,2016-10-05,No
EMP1059,46,Female,IT,IT Specialist,Master's,Human Resources,69363,4,4,Yes,4,2016-03-02,Yes
EMP1060,54,Male,Sales,Data Analyst,Bachelor's,Technical Degree,103279,4,7,Yes,5,2016-05-16,No
EMP1061,30,Female,Research & Development,Financial Analyst,Bachelor's,Life Sciences,178504,2,6,No,2,2016-12-30,Yes
EMP1062,56,Female,IT,HR Specialist,Master's,Human Resources,159393,1,13,Yes,2,2018-07-07,Yes
EMP1063,34,Male,Human Resources,HR Specialist,Bachelor's,Medical,106348,1,2,Yes,2,2024-10-24,No
EMP1064,51,Male,Sales,Manager,Bachelor's,Human Resources,138816,3,17,No,1,2020-10-19,No
EMP1065,35,Female,Finance,Manager,Bachelor's,Technical Degree,148053,2,15,No,5,2021-11-30,No
EMP1066,28,Female,Finance,HR Specialist,Master's,Finance,91262,4,18,No,2,2023-11-24,Yes
EMP1067,34,Male,Human Resources,Financial Analyst,Master's,Medical,159832,3,18,No,4,2016-04-01,No
EMP1068,43,Male,Finance,HR Specialist,Master's,Technical Degree,178262,2,17,No,3,2021-02-14,No
EMP1069,60,Male,Finance,Data Analyst,Master's,Finance,92411,1,19,Yes,3,2015-10-18,No
EMP1070,41,Male,Sales,Financial Analyst,Master's,Medical,48377,2,15,Yes,2,2024-10-31,No
EMP1071,36,Male,Sales,Manager,Bachelor's,Marketing,63211,1,7,No,3,2025-07-03,No
EMP1072,38,Female,Research & Development,Sales Executive,PhD,Life Sciences,28744,2,0,No,3,2017-07-08,Yes
EMP1073,44,Female,IT,IT Specialist,Bachelor's,Life Sciences,49995,3,16,No,1,2021-05-28,No
EMP1074,46,Female,Research & Development,Data Analyst,PhD,Technical Degree,173049,1,11,Yes,4,2020-05-23,No
EMP1075,45,Female,Research & Development,Data Analyst,Master's,Finance,59542,3,20,No,4,2017-01-25,No
EMP1076,49,Male,Human Resources,Manager,Bachelor's,Life Sciences,35651,3,10,No,1,2019-07-17,No
EMP1077,35,Male,Research & Development,Manager,Bachelor's,Finance,124239,1,4,No,1,2020-01-09,No
EMP1078,21,Male,Human Resources,Research Scientist,Bachelor's,Finance,103931,1,11,No,3,2018-07-30,No
EMP1079,45,Female,IT,Data Analyst,Bachelor's,Technical Degree,127112,4,16,No,5,2019-04-17,Yes
EMP1080,27,Female,Research & Development,Research Scientist,Bachelor's,Technical Degree,41715,4,5,No,3,2020-02-13,No
EMP1081,29,Male,Research & Development,Research Scientist,Master's,Technical Degree,175158,4,0,No,1,2016-01-12,No
EMP1082,44,Male,Research & Development,IT Specialist,Master's,Life Sciences,170448,3,4,No,4,2025-03-18,No
EMP1083,21,Female,Research & Development,Research Scientist,Master's,Technical Degree,86350,3,13,No,3,2018-03-25,No
EMP1084,28,Female,Research & Development,Financial Analyst,PhD,Life Sciences,96425,4,4,No,5,2016-05-22,No
EMP1085,44,Male,Research & Development,HR Specialist,Master's,Technical Degree,111120,3,0,No,3,2018-12-07,No
EMP1086,31,Male,Research & Development,Sales Executive,Master's,Human Resources,139889,3,17,No,2,2022-01-19,No
EMP1087,37,Female,Sales,Manager,Bachelor's,Finance,166130,1,15,Yes,3,2024-05-19,Yes
EMP1088,28,Male,Sales,Financial Analyst,Master's,Technical Degree,99637,1,8,No,1,2016-07-12,No
EMP1089,55,Male,Research & Development,Sales Executive,Bachelor's,Medical,95194,3,18,No,4,2025-07-01,No
EMP1090,55,Male,Research & Development,Data Analyst,PhD,Finance,101917,4,4,No,4,2023-12-03,No
EMP1091,53,Female,Research & Development,Data Analyst,Master's,Finance,89200,2,1,No,1,2023-06-30,Yes
EMP1092,25,Female,Human Resources,Data Analyst,Master's,Technical Degree,130848,4,14,No,2,2021-04-26,No
EMP1093,59,Female,Human Resources,Financial Analyst,Bachelor's,Marketing,131022,2,6,Yes,1,2016-02-25,No
EMP1094,48,Female,Sales,Financial Analyst,Master's,Technical Degree,173226,4,3,No,3,2019-04-02,No
EMP1095,27,Female,IT,Manager,Master's,Finance,175611,1,0,No,1,2024-12-01,No
EMP1096,29,Female,Research & Development,HR Specialist,Bachelor's,Medical,85058,3,12,No,1,2015-10-31,No
EMP1097,28,Female,Human Resources,Research Scientist,Bachelor's,Finance,87068,3,19,No,2,2017-07-30,No
EMP1098,32,Male,Research & Development,Data Analyst,Master's,Medical,124932,1,6,No,3,2025-12-29,No
EMP1099,54,Male,IT,IT Specialist,Bachelor's,Life Sciences,162103,2,14,No,5,2023-07-08,No
EMP1100,53,Male,Human Resources,HR Specialist,PhD,Human Resources,47785,2,13,Yes,5,2024-09-30,No
EMP1101,43,Male,Human Resources,IT Specialist,Bachelor's,Finance,119475,2,18,No,4,2025-03-04,No
EMP1102,44,Male,Finance,Manager,Bachelor's,Technical Degree,27282,1,19,No,1,2022-02-02,Yes
EMP1103,57,Male,Sales,Manager,Master's,Life Sciences,92534,2,17,No,4,2025-03-30,No
EMP1104,55,Male,Sales,Manager,Bachelor's,Human Resources,99964,1,9,No,2,2018-07-25,No
EMP1105,60,Female,Human Resources,Sales Executive,Master's,Technical Degree,144006,4,8,No,5,2023-12-19,No
EMP1106,42,Female,Research & Development,IT Specialist,Bachelor's,Marketing,75583,4,7,Yes,1,2017-12-25,No
EMP1107,47,Male,Human Resources,HR Specialist,Bachelor's,Technical Degree,63392,1,9,No,2,2020-11-25,Yes
EMP1108,55,Male,Sales,HR Specialist,Master's,Medical,32461,3,16,No,2,2021-05-04,No
EMP1109,21,Female,Research & Development,Financial Analyst,Master's,Medical,125123,4,1,No,1,2021-03-19,No
EMP1110,55,Male,Research & Development,Financial Analyst,Master's,Marketing,35516,2,5,No,2,2020-01-02,No
EMP1111,57,Male,Research & Development,Data Analyst,Master's,Life Sciences,173586,1,4,Yes,1,2019-04-03,No
EMP1112,34,Female,Research & Development,Financial Analyst,Master's,Human Resources,146251,2,8,Yes,1,2023-08-28,No
EMP1113,23,Male,Research & Development,Manager,Bachelor's,Technical Degree,87493,2,4,No,3,2016-11-23,No
EMP1114,21,Female,Research & Development,HR Specialist,Bachelor's,Medical,61027,3,17,No,4,2015-09-12,No
EMP1115,25,Male,Research & Development,IT Specialist,PhD,Life Sciences,118547,2,19,Yes,2,2019-01-18,No
EMP1116,46,Female,Research & Development,Manager,Master's,Marketing,125127,3,8,No,2,2021-04-19,No
EMP1117,34,Female,Finance,Sales Executive,Master's,Finance,173930,4,16,No,3,2015-09-14,No
EMP1118,59,Female,Sales,Financial Analyst,Bachelor's,Medical,104003,1,16,No,3,2021-08-27,No
EMP1119,47,Male,Research & Development,Manager,Bachelor's,Marketing,64758,2,11,No,3,2016-03-17,Yes
EMP1120,29,Female,Research & Development,Manager,Master's,Technical Degree,79312,1,6,Yes,5,2020-02-25,No
EMP1121,35,Male,Human Resources,Sales Executive,Master's,Human Resources,93670,2,2,Yes,5,2022-03-31,No
EMP1122,35,Male,Research & Development,Research Scientist,Master's,Medical,107279,1,9,No,5,2018-01-18,No
EMP1123,46,Male,Finance,HR Specialist,Master's,Medical,40434,2,1,No,1,2025-06-17,No
EMP1124,33,Male,IT,IT Specialist,Master's,Technical Degree,100769,2,2,No,2,2021-09-03,Yes
EMP1125,52,Female,Research & Development,Data Analyst,Bachelor's,Finance,91677,2,15,No,4,2016-08-04,No
EMP1126,59,Female,Sales,Research Scientist,Bachelor's,Life Sciences,108555,2,1,No,1,2023-07-13,Yes
EMP1127,52,Male,Research & Development,Financial Analyst,Bachelor's,Human Resources,153379,2,9,No,2,2019-10-02,No
EMP1128,24,Male,Sales,Manager,Bachelor's,Medical,126665,2,5,No,2,2025-03-24,No
EMP1129,50,Female,Research & Development,Sales Executive,Master's,Human Resources,93803,2,10,No,3,2022-03-30,No
EMP1130,57,Male,IT,Sales Executive,Bachelor's,Medical,116703,2,6,No,3,2015-01-19,No
EMP1131,43,Female,Sales,HR Specialist,Master's,Human Resources,46312,2,14,Yes,1,2018-01-29,No
EMP1132,59,Male,Sales,Research Scientist,Bachelor's,Marketing,142961,1,5,No,3,2025-11-29,No
EMP1133,35,Male,Sales,Data Analyst,Bachelor's,Medical,65379,3,19,Yes,2,2022-04-08,No
EMP1134,49,Female,Human Resources,HR Specialist,Bachelor's,Human Resources,42297,2,8,No,3,2025-07-04,No
EMP1135,56,Male,Research & Development,Manager,Bachelor's,Life Sciences,27011,3,19,No,5,2018-10-12,No
EMP1136,33,Female,Sales,HR Specialist,Master's,Marketing,145234,2,11,No,3,2019-04-15,No
EMP1137,52,Male,IT,IT Specialist,Bachelor's,Marketing,69014,2,18,No,2,2025-06-29,No
EMP1138,27,Male,Finance,Sales Executive,Master's,Life Sciences,167810,1,19,Yes,1,2025-12-23,Yes
EMP1139,42,Male,Sales,Sales Executive,Bachelor's,Human Resources,119333,4,2,Yes,4,2020-09-11,No
EMP1140,48,Female,Human Resources,Financial Analyst,Bachelor's,Technical Degree,36120,4,14,No,3,2020-06-16,No
EMP1141,22,Male,Finance,Financial Analyst,Bachelor's,Life Sciences,164839,1,1,Yes,2,2024-01-14,No
EMP1142,26,Male,Research & Development,Data Analyst,Master's,Human Resources,47852,3,20,No,4,2019-03-28,No
EMP1143,48,Male,Sales,Manager,Master's,Life Sciences,104239,4,1,No,4,2025-02-18,No
EMP1144,48,Male,Sales,IT Specialist,Bachelor's,Life Sciences,157001,1,2,No,5,2017-05-11,No
EMP1145,40,Female,Sales,Research Scientist,Bachelor's,Medical,116575,1,5,No,4,2015-06-04,No
EMP1146,50,Female,Finance,HR Specialist,Master's,Human Resources,120040,4,14,Yes,2,2024-07-26,Yes
EMP1147,31,Male,IT,Data Analyst,Bachelor's,Technical Degree,173510,3,9,No,2,2017-06-23,No
EMP1148,48,Female,Sales,Manager,Bachelor's,Medical,30744,1,8,No,3,2018-06-23,No
EMP1149,45,Male,Sales,Financial Analyst,Master's,Life Sciences,163141,2,0,Yes,3,2016-02-09,No
EMP1150,59,Male,Sales,HR Specialist,Master's,Finance,67359,3,15,No,3,2017-04-23,No
EMP1151,53,Male,Sales,Financial Analyst,Bachelor's,Life Sciences,175871,3,5,No,4,2019-11-18,No
EMP1152,21,Female,Finance,HR Specialist,PhD,Life Sciences,123746,4,8,No,4,2019-04-14,No
EMP1153,47,Female,Research & Development,Research Scientist,Master's,Human Resources,145906,4,3,No,5,2018-03-30,No
EMP1154,33,Female,Research & Development,Manager,Bachelor's,Human Resources,32597,2,1,Yes,3,2017-01-16,No
EMP1155,23,Female,Sales,HR Specialist,Master's,Medical,72093,1,3,No,1,2019-09-22,No
EMP1156,59,Female,Research & Development,IT Specialist,Master's,Technical Degree,139650,4,0,No,5,2023-09-24,No
EMP1157,26,Female,Research & Development,Data Analyst,Bachelor's,Medical,174765,4,18,No,1,2015-09-28,No
EMP1158,28,Female,Human Resources,Sales Executive,Bachelor's,Marketing,145956,3,9,No,4,2017-02-08,No
EMP1159,47,Female,Sales,IT Specialist,Bachelor's,Life Sciences,140598,4,20,No,5,2019-09-12,No
EMP1160,29,Female,Finance,IT Specialist,Master's,Finance,158241,4,14,Yes,5,2019-02-19,No
EMP1161,57,Male,Research & Development,Data Analyst,Bachelor's,Life Sciences,178124,4,18,No,2,2025-10-31,No
EMP1162,53,Female,Sales,Sales Executive,Master's,Life Sciences,33036,4,15,Yes,4,2015-06-21,No
EMP1163,44,Female,Research & Development,IT Specialist,Master's,Medical,56778,3,20,No,4,2015-10-01,No
EMP1164,35,Female,Finance,HR Specialist,Bachelor's,Finance,179245,2,3,No,5,2021-04-25,No
EMP1165,52,Female,IT,HR Specialist,Master's,Finance,162416,2,1,No,4,2018-03-04,No
EMP1166,52,Female,Research & Development,HR Specialist,Bachelor's,Finance,43800,1,12,No,5,2019-09-03,No
EMP1167,44,Female,Research & Development,Sales Executive,Master's,Medical,50372,4,0,Yes,2,2025-05-21,No
EMP1168,32,Female,IT,IT Specialist,Master's,Life Sciences,86516,3,16,No,5,2019-11-07,No
EMP1169,59,Female,Research & Development,Sales Executive,Bachelor's,Medical,45538,1,12,Yes,4,2016-02-26,Yes
EMP1170,22,Female,Sales,HR Specialist,Bachelor's,Human Resources,88918,1,3,Yes,4,2018-12-15,No
EMP1171,23,Female,IT,Data Analyst,Bachelor's,Human Resources,171045,2,6,Yes,5,2018-04-24,No
EMP1172,57,Female,Sales,IT Specialist,Bachelor's,Medical,96155,3,16,No,5,2025-12-14,No
EMP1173,37,Male,Research & Development,IT Specialist,Bachelor's,Finance,84500,3,8,Yes,5,2021-08-08,No
EMP1174,22,Male,Sales,Financial Analyst,Bachelor's,Life Sciences,135659,3,3,Yes,3,2025-01-26,No
EMP1175,22,Female,Sales,Financial Analyst,PhD,Medical,52716,2,18,Yes,4,2021-08-22,No
EMP1176,48,Female,Research & Development,Research Scientist,Bachelor's,Medical,159308,2,0,Yes,4,2024-11-03,Yes
EMP1177,43,Male,Finance,Manager,Bachelor's,Medical,171920,2,9,No,3,2016-08-02,No
EMP1178,57,Female,Sales,Financial Analyst,Master's,Marketing,27352,2,3,No,5,2017-06-09,No
EMP1179,52,Male,Sales,Sales Executive,Bachelor's,Human Resources,158004,2,8,No,2,2016-12-22,No
EMP1180,53,Male,Sales,Financial Analyst,PhD,Finance,101449,4,12,No,5,2023-12-12,No
EMP1181,21,Male,Research & Development,Research Scientist,Master's,Technical Degree,33556,4,13,Yes,5,2017-05-30,No
EMP1182,39,Male,IT,IT Specialist,Master's,Finance,111836,3,9,No,3,2018-01-26,Yes
EMP1183,22,Male,Research & Development,Research Scientist,Bachelor's,Technical Degree,161570,1,5,No,4,2022-04-06,No
EMP1184,46,Female,Research & Development,IT Specialist,Bachelor's,Marketing,75098,3,15,No,5,2020-06-30,No
EMP1185,52,Male,Finance,Data Analyst,Bachelor's,Medical,137169,1,5,Yes,4,2020-08-31,Yes
EMP1186,26,Female,Research & Development,Data Analyst,Master's,Marketing,165641,2,16,Yes,1,2019-01-13,No
EMP1187,52,Female,Sales,IT Specialist,Bachelor's,Marketing,151060,1,9,Yes,4,2023-11-18,No
EMP1188,24,Male,Sales,Manager,Bachelor's,Life Sciences,155544,3,17,No,2,2016-01-18,Yes
EMP1189,31,Male,Research & Development,Financial Analyst,PhD,Human Resources,25340,3,17,No,2,2020-12-21,No
EMP1190,37,Female,Research & Development,Sales Executive,Bachelor's,Technical Degree,107302,1,2,Yes,5,2018-12-20,No
EMP1191,58,Male,Research & Development,Sales Executive,Bachelor's,Medical,25138,4,19,Yes,4,2023-06-24,Yes
EMP1192,44,Male,Finance,HR Specialist,Bachelor's,Technical Degree,156430,2,20,No,5,2021-12-25,No
EMP1193,25,Female,Research & Development,IT Specialist,PhD,Finance,144619,2,14,Yes,3,2023-12-01,No
EMP1194,54,Female,Research & Development,Sales Executive,Bachelor's,Technical Degree,110376,3,14,No,2,2023-08-23,No
EMP1195,26,Male,Research & Development,Manager,Master's,Finance,124931,4,3,No,5,2019-05-10,No
EMP1196,42,Female,Research & Development,IT Specialist,Master's,Human Resources,106532,1,8,Yes,3,2019-11-22,No
EMP1197,31,Male,Finance,Manager,Bachelor's,Finance,80778,2,18,Yes,5,2015-05-24,No
EMP1198,36,Male,Research & Development,Sales Executive,Master's,Technical Degree,62772,4,16,No,4,2020-03-01,No
EMP1199,53,Male,Sales,Sales Executive,Bachelor's,Technical Degree,83478,2,10,No,4,2025-11-25,No
EMP1200,29,Female,Human Resources,HR Specialist,Bachelor's,Finance,51762,4,8,No,4,2019-08-30,No
EMP1201,26,Female,Research & Development,Sales Executive,Master's,Marketing,169355,4,9,No,4,2018-12-06,No
EMP1202,36,Female,Research & Development,IT Specialist,Master's,Human Resources,80568,3,17,Yes,1,2015-08-12,No
EMP1203,49,Female,Research & Development,Data Analyst,Master's,Life Sciences,110090,2,19,No,3,2015-08-08,No
EMP1204,23,Female,Research & Development,IT Specialist,Master's,Medical,45219,1,12,No,3,2015-06-28,No
EMP1205,40,Male,Human Resources,IT Specialist,Bachelor's,Technical Degree,82169,3,7,Yes,4,2019-07-13,Yes
EMP1206,56,Male,Sales,HR Specialist,Bachelor's,Medical,99965,3,6,No,1,2016-03-08,No
EMP1207,39,Male,Research & Development,HR Specialist,Bachelor's,Life Sciences,109754,1,16,Yes,4,2015-09-22,No
EMP1208,46,Male,Sales,Sales Executive,Bachelor's,Medical,102988,3,20,No,1,2017-08-11,No
EMP1209,23,Female,Human Resources,Research Scientist,Bachelor's,Life Sciences,175023,4,14,Yes,4,2016-03-04,No
EMP1210,39,Male,Sales,Research Scientist,Bachelor's,Finance,157379,4,19,No,2,2025-03-22,No
EMP1211,40,Female,IT,HR Specialist,Bachelor's,Marketing,105388,2,14,No,2,2021-09-29,No
EMP1212,52,Male,Research & Development,Sales Executive,Bachelor's,Technical Degree,115768,2,0,No,5,2024-08-25,Yes
EMP1213,27,Female,Finance,Research Scientist,Master's,Life Sciences,60428,1,13,Yes,4,2022-08-06,No
EMP1214,53,Female,IT,Sales Executive,Master's,Medical,117021,2,4,No,3,2021-02-22,No
EMP1215,60,Male,Finance,Sales Executive,Bachelor's,Technical Degree,143418,4,10,No,5,2019-04-27,No
EMP1216,59,Male,Finance,Sales Executive,PhD,Marketing,157212,1,15,No,2,2023-07-22,No
EMP1217,38,Male,Research & Development,Financial Analyst,Master's,Finance,51421,1,1,No,4,2016-04-24,Yes
EMP1218,60,Male,Research & Development,IT Specialist,Bachelor's,Technical Degree,26708,2,7,No,5,2024-08-15,No
EMP1219,21,Female,Sales,Sales Executive,Master's,Life Sciences,159702,4,10,No,4,2018-09-15,No
EMP1220,31,Male,Sales,Financial Analyst,Master's,Marketing,175667,1,17,No,2,2024-02-05,No
EMP1221,48,Male,Research & Development,HR Specialist,Master's,Medical,101021,4,2,No,5,2025-08-14,No
EMP1222,45,Female,Research & Development,Research Scientist,Bachelor's,Marketing,69789,4,0,No,2,2017-06-08,No
EMP1223,43,Male,Research & Development,IT Specialist,Master's,Marketing,51086,4,10,No,1,2025-07-21,No
EMP1224,51,Male,Research & Development,Data Analyst,Bachelor's,Human Resources,41859,2,15,No,2,2017-07-13,No
EMP1225,50,Male,IT,Research Scientist,Master's,Marketing,32684,3,17,No,4,2020-12-10,No
EMP1226,55,Male,Research & Development,IT Specialist,Master's,Marketing,116088,3,15,No,3,2020-03-17,No
EMP1227,27,Male,Human Resources,Data Analyst,Master's,Technical Degree,157279,1,9,Yes,2,2018-11-11,No
EMP1228,36,Female,Finance,Research Scientist,Master's,Medical,71099,4,17,No,3,2018-09-24,No
EMP1229,46,Male,IT,IT Specialist,Master's,Technical Degree,91093,2,5,No,1,2017-02-16,No
EMP1230,22,Male,Research & Development,Research Scientist,Bachelor's,Technical Degree,73651,4,18,No,5,2021-07-23,No
EMP1231,21,Male,Finance,Research Scientist,Bachelor's,Life Sciences,38893,4,3,No,5,2015-01-29,No
EMP1232,32,Male,IT,Data Analyst,Master's,Technical Degree,91418,2,12,No,3,2023-04-11,No
EMP1233,25,Male,IT,Research Scientist,Bachelor's,Human Resources,150074,3,13,No,5,2015-02-04,No
EMP1234,57,Female,Sales,Research Scientist,Bachelor's,Human Resources,128065,4,2,No,2,2024-10-29,No
EMP1235,52,Male,Research & Development,Data Analyst,Bachelor's,Life Sciences,155351,4,9,No,3,2018-11-20,No
EMP1236,29,Female,Research & Development,HR Specialist,Bachelor's,Finance,63635,3,5,No,4,2022-04-24,No
EMP1237,55,Female,Sales,Sales Executive,PhD,Medical,120071,2,0,No,2,2024-03-19,No
EMP1238,39,Male,Research & Development,Manager,Master's,Medical,103518,1,13,No,2,2016-08-11,No
EMP1239,36,Male,Human Resources,Financial Analyst,PhD,Technical Degree,131233,3,7,Yes,2,2024-05-13,No
EMP1240,23,Male,Finance,Manager,Master's,Technical Degree,128651,1,18,Yes,4,2023-10-24,No
EMP1241,40,Male,Sales,Manager,Bachelor's,Finance,97805,1,13,No,1,2023-08-05,Yes
EMP1242,44,Female,IT,IT Specialist,Bachelor's,Technical Degree,147813,3,9,Yes,5,2017-06-22,No
EMP1243,53,Male,Research & Development,Sales Executive,Master's,Medical,104063,4,16,No,3,2022-01-11,No
EMP1244,44,Male,Human Resources,IT Specialist,Bachelor's,Marketing,27454,1,8,No,1,2020-12-09,No
EMP1245,31,Male,IT,Sales Executive,PhD,Human Resources,45878,1,5,No,3,2015-12-06,No
EMP1246,28,Male,Research & Development,Data Analyst,Master's,Marketing,169063,2,10,No,5,2015-06-24,No
EMP1247,56,Male,Research & Development,Data Analyst,Bachelor's,Marketing,93344,4,6,Yes,4,2020-04-07,No
EMP1248,58,Male,Finance,Sales Executive,PhD,Medical,129946,1,16,No,2,2019-09-11,No
EMP1249,60,Female,Research & Development,Research Scientist,Master's,Marketing,61593,2,0,No,2,2016-08-19,Yes
EMP1250,40,Female,Sales,HR Specialist,Master's,Finance,61304,4,4,No,4,2016-03-26,No
EMP1251,55,Male,Finance,Research Scientist,Bachelor's,Life Sciences,138613,3,8,Yes,1,2016-07-10,Yes
EMP1252,45,Male,Research & Development,HR Specialist,Bachelor's,Technical Degree,177155,3,17,No,1,2018-03-05,No
EMP1253,55,Male,Finance,IT Specialist,Master's,Life Sciences,43354,2,20,Yes,3,2025-10-01,No
EMP1254,45,Female,Research & Development,HR Specialist,Bachelor's,Human Resources,47190,3,1,Yes,4,2023-06-15,No
